video,label,path
bgeacsngmi.mp4,0,data/faces/chunk6/bgeacsngmi_11_0.png
rzljiqidhj.mp4,0,data/faces/chunk2/rzljiqidhj_0_0.png
rzljiqidhj.mp4,0,data/faces/chunk2/rzljiqidhj_14_0.png
yoqqryxlll.mp4,0,data/faces/chunk7/yoqqryxlll_1_0.png
yoqqryxlll.mp4,0,data/faces/chunk7/yoqqryxlll_11_0.png
yoqqryxlll.mp4,0,data/faces/chunk7/yoqqryxlll_22_0.png
yoqqryxlll.mp4,0,data/faces/chunk7/yoqqryxlll_10_0.png
rzljiqidhj.mp4,0,data/faces/chunk2/rzljiqidhj_11_0.png
fwiyjcfwta.mp4,0,data/faces/chunk7/fwiyjcfwta_30_0.png
fwiyjcfwta.mp4,0,data/faces/chunk7/fwiyjcfwta_6_0.png
fwiyjcfwta.mp4,0,data/faces/chunk7/fwiyjcfwta_23_0.png
egkaufznwj.mp4,0,data/faces/chunk7/egkaufznwj_18_0.png
hnqocyfmyk.mp4,1,data/faces/chunk8/hnqocyfmyk_2_0.png
hnqocyfmyk.mp4,1,data/faces/chunk8/hnqocyfmyk_1_0.png
hnqocyfmyk.mp4,1,data/faces/chunk8/hnqocyfmyk_4_0.png
fwiyjcfwta.mp4,0,data/faces/chunk7/fwiyjcfwta_31_0.png
rzljiqidhj.mp4,0,data/faces/chunk2/rzljiqidhj_10_0.png
xgscdzbugy.mp4,0,data/faces/chunk7/xgscdzbugy_29_0.png
xgscdzbugy.mp4,0,data/faces/chunk7/xgscdzbugy_9_0.png
iwytmhnrad.mp4,1,data/faces/chunk8/iwytmhnrad_13_0.png
iwytmhnrad.mp4,1,data/faces/chunk8/iwytmhnrad_29_0.png
figsmtmzse.mp4,0,data/faces/chunk7/figsmtmzse_12_0.png
figsmtmzse.mp4,0,data/faces/chunk7/figsmtmzse_10_0.png
figsmtmzse.mp4,0,data/faces/chunk7/figsmtmzse_0_0.png
dafhnjbgjp.mp4,0,data/faces/chunk7/dafhnjbgjp_29_0.png
